Title,Price(£),Rating,In Stock,URL,Scraped
A Light in the Attic,51.77,3,0,a-light-in-the-attic_1000/index.html,2026-04-18T17:13:18
Tipping the Velvet,53.74,1,0,tipping-the-velvet_999/index.html,2026-04-18T17:13:18
Soumission,50.1,1,0,soumission_998/index.html,2026-04-18T17:13:18
Sharp Objects,47.82,4,0,sharp-objects_997/index.html,2026-04-18T17:13:18
Sapiens: A Brief History of Humankind,54.23,5,0,sapiens-a-brief-history-of-humankind_996/index.html,2026-04-18T17:13:18
The Requiem Red,22.65,1,0,the-requiem-red_995/index.html,2026-04-18T17:13:18
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,0,the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,2026-04-18T17:13:18
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,0,the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,2026-04-18T17:13:18
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,0,the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,2026-04-18T17:13:18
The Black Maria,52.15,1,0,the-black-maria_991/index.html,2026-04-18T17:13:18
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,0,starving-hearts-triangular-trade-trilogy-1_990/index.html,2026-04-18T17:13:18
Shakespeare's Sonnets,20.66,4,0,shakespeares-sonnets_989/index.html,2026-04-18T17:13:18
Set Me Free,17.46,5,0,set-me-free_988/index.html,2026-04-18T17:13:18
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,0,scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,2026-04-18T17:13:18
Rip it Up and Start Again,35.02,5,0,rip-it-up-and-start-again_986/index.html,2026-04-18T17:13:18
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,0,our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,2026-04-18T17:13:18
Olio,23.88,1,0,olio_984/index.html,2026-04-18T17:13:18
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,0,mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,2026-04-18T17:13:18
Libertarianism for Beginners,51.33,2,0,libertarianism-for-beginners_982/index.html,2026-04-18T17:13:18
It's Only the Himalayas,45.17,2,0,its-only-the-himalayas_981/index.html,2026-04-18T17:13:18
In Her Wake,12.84,1,0,in-her-wake_980/index.html,2026-04-18T17:13:18
How Music Works,37.32,2,0,how-music-works_979/index.html,2026-04-18T17:13:18
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,0,foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,2026-04-18T17:13:18
Chase Me (Paris Nights #2),25.27,5,0,chase-me-paris-nights-2_977/index.html,2026-04-18T17:13:18
Black Dust,34.53,5,0,black-dust_976/index.html,2026-04-18T17:13:18
Birdsong: A Story in Pictures,54.64,3,0,birdsong-a-story-in-pictures_975/index.html,2026-04-18T17:13:18
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,0,americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,2026-04-18T17:13:18
Aladdin and His Wonderful Lamp,53.13,3,0,aladdin-and-his-wonderful-lamp_973/index.html,2026-04-18T17:13:18
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3,5,0,worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,2026-04-18T17:13:18
Wall and Piece,44.18,4,0,wall-and-piece_971/index.html,2026-04-18T17:13:18
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,0,the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,2026-04-18T17:13:18
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,0,the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,2026-04-18T17:13:18
The Elephant Tree,23.82,5,0,the-elephant-tree_968/index.html,2026-04-18T17:13:18
The Bear and the Piano,36.89,1,0,the-bear-and-the-piano_967/index.html,2026-04-18T17:13:18
Sophie's World,15.94,5,0,sophies-world_966/index.html,2026-04-18T17:13:18
Penny Maybe,33.29,3,0,penny-maybe_965/index.html,2026-04-18T17:13:18
Maude (1883-1993):She Grew Up with the country,18.02,2,0,maude-1883-1993she-grew-up-with-the-country_964/index.html,2026-04-18T17:13:18
"In a Dark, Dark Wood",19.63,1,0,in-a-dark-dark-wood_963/index.html,2026-04-18T17:13:18
Behind Closed Doors,52.22,4,0,behind-closed-doors_962/index.html,2026-04-18T17:13:18
You can't bury them all: Poems,33.63,2,0,you-cant-bury-them-all-poems_961/index.html,2026-04-18T17:13:18
Slow States of Collapse: Poems,57.31,3,0,slow-states-of-collapse-poems_960/index.html,2026-04-18T17:13:18
Reasons to Stay Alive,26.41,2,0,reasons-to-stay-alive_959/index.html,2026-04-18T17:13:18
Private Paris (Private #10),47.61,5,0,private-paris-private-10_958/index.html,2026-04-18T17:13:18
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,0,higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,2026-04-18T17:13:18
Without Borders (Wanderlove #1),45.07,2,0,without-borders-wanderlove-1_956/index.html,2026-04-18T17:13:18
When We Collided,31.77,1,0,when-we-collided_955/index.html,2026-04-18T17:13:18
"We Love You, Charlie Freeman",50.27,5,0,we-love-you-charlie-freeman_954/index.html,2026-04-18T17:13:18
Untitled Collection: Sabbath Poems 2014,14.27,4,0,untitled-collection-sabbath-poems-2014_953/index.html,2026-04-18T17:13:18
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,0,unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,2026-04-18T17:13:18
Unicorn Tracks,18.78,3,0,unicorn-tracks_951/index.html,2026-04-18T17:13:18
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1,0,unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,2026-04-18T17:13:18
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,0,tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,2026-04-18T17:13:18
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3,0,throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,2026-04-18T17:13:18
This One Summer,19.49,4,0,this-one-summer_947/index.html,2026-04-18T17:13:18
Thirst,17.27,5,0,thirst_946/index.html,2026-04-18T17:13:18
The Torch Is Passed: A Harding Family Story,19.09,1,0,the-torch-is-passed-a-harding-family-story_945/index.html,2026-04-18T17:13:18
The Secret of Dreadwillow Carse,56.13,1,0,the-secret-of-dreadwillow-carse_944/index.html,2026-04-18T17:13:18
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,1,0,the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,2026-04-18T17:13:18
The Past Never Ends,56.5,4,0,the-past-never-ends_942/index.html,2026-04-18T17:13:18
The Natural History of Us (The Fine Art of Pretending #2),45.22,3,0,the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,2026-04-18T17:13:18
The Nameless City (The Nameless City #1),38.16,4,0,the-nameless-city-the-nameless-city-1_940/index.html,2026-04-18T17:13:18
The Murder That Never Was (Forensic Instincts #5),54.11,3,0,the-murder-that-never-was-forensic-instincts-5_939/index.html,2026-04-18T17:13:18
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,4,0,the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html,2026-04-18T17:13:18
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,4,0,the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html,2026-04-18T17:13:18
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,3,0,the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html,2026-04-18T17:13:18
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,5,0,the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html,2026-04-18T17:13:18
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,1,0,the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html,2026-04-18T17:13:18
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,1,0,the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html,2026-04-18T17:13:18
The Death of Humanity: and the Case for Life,58.11,4,0,the-death-of-humanity-and-the-case-for-life_932/index.html,2026-04-18T17:13:18
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,3,0,the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html,2026-04-18T17:13:18
The Art Forger,40.76,3,0,the-art-forger_930/index.html,2026-04-18T17:13:18
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,1,0,the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html,2026-04-18T17:13:18
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,5,0,the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html,2026-04-18T17:13:18
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4,0,spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html,2026-04-18T17:13:18
Soul Reader,39.58,2,0,soul-reader_926/index.html,2026-04-18T17:13:18
Security,39.25,2,0,security_925/index.html,2026-04-18T17:13:18
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,3,0,saga-volume-6-saga-collected-editions-6_924/index.html,2026-04-18T17:13:18
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,2,0,saga-volume-5-saga-collected-editions-5_923/index.html,2026-04-18T17:13:18
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2,0,reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html,2026-04-18T17:13:18
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,3,0,rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html,2026-04-18T17:13:18
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,0,princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html,2026-04-18T17:13:18
Princess Between Worlds (Wide-Awake Princess #5),13.34,5,0,princess-between-worlds-wide-awake-princess-5_919/index.html,2026-04-18T17:13:18
"Pop Gun War, Volume 1: Gift",18.97,1,0,pop-gun-war-volume-1-gift_918/index.html,2026-04-18T17:13:18
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,2,0,political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html,2026-04-18T17:13:18
Patience,10.16,3,0,patience_916/index.html,2026-04-18T17:13:18
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,0,outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html,2026-04-18T17:13:18
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1,0,orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html,2026-04-18T17:13:18
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,1,0,online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html,2026-04-18T17:13:18
On a Midnight Clear,14.07,3,0,on-a-midnight-clear_912/index.html,2026-04-18T17:13:18
Obsidian (Lux #1),14.86,2,0,obsidian-lux-1_911/index.html,2026-04-18T17:13:18
My Paris Kitchen: Recipes and Stories,33.37,2,0,my-paris-kitchen-recipes-and-stories_910/index.html,2026-04-18T17:13:18
Masks and Shadows,56.4,2,0,masks-and-shadows_909/index.html,2026-04-18T17:13:18
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,4,0,mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html,2026-04-18T17:13:18
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2,0,lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html,2026-04-18T17:13:18
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3,0,lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html,2026-04-18T17:13:18
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2,0,lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html,2026-04-18T17:13:18
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,1,0,layered-baking-building-and-styling-spectacular-cakes_904/index.html,2026-04-18T17:13:18
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,2,0,judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html,2026-04-18T17:13:18
Join,35.67,5,0,join_902/index.html,2026-04-18T17:13:18
In the Country We Love: My Family Divided,22.0,4,0,in-the-country-we-love-my-family-divided_901/index.html,2026-04-18T17:13:18
